video,christian_mean_iou,method_mean_iou,mean_delta_iou,n_frames,method
before-video-000,0.3794809288242044,0.2963764898142967,-0.08310443900990767,66,strict_qmem_v2_T2K2_full
before-video-001,0.2519872494594668,0.3017054497088363,0.04971820024936949,11,strict_qmem_v2_T2K2_full
before-video-002,0.2820122457959932,0.3164769647106477,0.034464718914654496,49,strict_qmem_v2_T2K2_full
before-video-003,0.3322926377146983,0.3502163921756922,0.017923754460993934,46,strict_qmem_v2_T2K2_full
before-video-004,0.3922930137962685,0.26308127400812104,-0.12921173978814748,10,strict_qmem_v2_T2K2_full
before-video-005,0.349849799883027,0.3457150613306057,-0.0041347385524213316,55,strict_qmem_v2_T2K2_full
before-video-006,0.3695320690992881,0.3521227153166131,-0.017409353782675004,38,strict_qmem_v2_T2K2_full
before-video-007,0.38623108288556074,0.46688956325153425,0.08065848036597353,10,strict_qmem_v2_T2K2_full
before-video-008,0.32623887984656946,0.32207788718315866,-0.0041609926634108355,91,strict_qmem_v2_T2K2_full
before-video-009,0.2938306545962098,0.40193354533669495,0.10810289074048522,14,strict_qmem_v2_T2K2_full
before-video-010,0.361641728858258,0.325363240929091,-0.03627848792916701,11,strict_qmem_v2_T2K2_full
before-video-011,0.3284757505816951,0.4296303216097366,0.10115457102804151,14,strict_qmem_v2_T2K2_full
before-video-012,0.32948153532278435,0.3549591644722871,0.025477629149502766,72,strict_qmem_v2_T2K2_full
before-video-013,0.3853891417238897,0.2960467690938178,-0.08934237263007193,9,strict_qmem_v2_T2K2_full
before-video-000,0.3794809288242044,0.29298386663548304,-0.08649706218872134,66,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-001,0.2519872494594668,0.29926353756542395,0.047276288105957166,11,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-002,0.2820122457959932,0.31582091102636406,0.03380866523037084,49,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-003,0.3322926377146983,0.34751014356706916,0.01521750585237085,46,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-004,0.3922930137962685,0.26482500823282923,-0.1274680055634393,10,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-005,0.349849799883027,0.3419778722997704,-0.007871927583256616,55,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-006,0.3695320690992881,0.3537756058560103,-0.015756463243277775,38,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-007,0.38623108288556074,0.466112190509414,0.07988110762385323,10,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-008,0.32623887984656946,0.3209535028042984,-0.005285377042271124,91,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-009,0.2938306545962098,0.40494265240107413,0.11111199780486437,14,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-010,0.361641728858258,0.316985508980927,-0.04465621987733108,11,strict_qmem_v2_T2K2_qmem_only_lambda0p05
before-video-011,0.3284757505816951,0.42483523247762955,0.0963594818959345,14,strict_qmem_v2_T2K2_qmem_only_lambda0p05
